area,precio
853.43,1.78
1000.00,1.69
1099.96,2.48
1196.35,2.36
1199.92,2.97
1232.05,1.99
1235.62,2.29
1267.15,2.60
1314.16,2.97
1385.56,2.12
1417.69,2.34
1424.83,1.99
1439.11,2.46
1453.39,4.65
1492.66,2.37
1528.56,3.12
1596.39,3.28
1603.53,2.37
1660.65,3.66
1767.75,2.52
1807.82,2.86
1839.15,3.48
1849.86,2.97
1885.56,3.28
1889.13,2.56
1939.11,2.36
1956.96,2.60
1981.95,2.97
1996.23,3.47
2042.84,3.12
2099.96,3.96
2128.52,3.42
2160.65,2.87
2199.92,4.75
2235.62,3.28
2299.88,4.52
2399.84,3.68
2521.42,4.69
2564.87,3.12
2607.10,4.96
2635.66,2.97
3003.57,5.39
3028.56,5.96
3132.09,5.83
3889.13,5.74
4214.20,5.48
